which might,['throw']
under any,['other']
machine that,['the']
upon all,['his']
the most,['perfect']
adler all,['emotions']
for drawing,['the']
he would,['have']
into his,['own']
actions but,['for']
with a,['gibe']
himself in,['a']
of the,['softer']
be more,['disturbing']
one particularly,['were']
save with,['a']
of his,['own']
finely adjusted,['temperament']
heard him,['mention']
the world,['has']
strong emotion,['in']
all his,['mental']
was to,['introduce']
in one,['of']
whole of,['her']
love for,['irene']
to his,['cold']
but admirably,['balanced']
things for,['the']
might throw,['a']
than a,['strong']
placed himself,['in']
that one,['particularly']
instrument or,['a']
never spoke,['of']
adjusted temperament,['was']
for irene,['adler']
emotions and,['that']
the observer excellent,['for']
the woman,['i']
distracting factor,['which']
nature such,['as']
felt any,['emotion']
emotion in,['a']
one of,['his']
lenses would,['not']
would not,['be']
balanced mind,['he']
sensitive instrument,['or']
softer passions,['save']
reasoner to,['admit']
seen but,['as']
and observing,['machine']
to admit,['such']
mind he,['was']
spoke of,['the']
to love,['for']
his eyes,['she']
such as,['his']
admirable things,['for']
they were,['admirable']
and a,['sneer']
passions save,['with']
were admirable,['things']
crack in,['one']
name in,['his']
own high-power,['lenses']
all emotions,['and']
take it,['the']
a distracting,['factor']
doubt upon,['all']
he never,['spoke']
any emotion,['akin']
a crack,['in']
have seldom,['heard']
motives and,['actions']
grit in,['a']
lover he,['would']
false position,['he']
and that,['one']
a doubt,['upon']
more disturbing,['than']
but for,['the']
to introduce,['a']
world has,['seen']
intrusions into,['his']
a strong,['emotion']
observer excellent for,['drawing']
most perfect,['reasoning']
a lover,['he']
trained reasoner,['to']
results grit,['in']
emotion akin,['to']
a nature,['such']
observing machine,['that']
introduce a,['distracting']
in a,|['false', 'sensitive', 'nature']|
reasoning and,['observing']
him mention,['her']
and actions,['but']
a gibe,['and']
for the,|['observer excellent', 'trained']|
and finely,['adjusted']
the trained,['reasoner']
the softer,['passions']
from mens,['motives']
her under,['any']
of her,['sex']
mention her,['under']
i have,['seldom']
abhorrent to,['his']
high-power lenses,['would']
veil from,['mens']
mens motives,['and']
was i,['take']
but as,['a']
a sneer,['they']
cold precise,['but']
he was,['i']
or a,['crack']
would have,['placed']
his cold,['precise']
particularly were,['abhorrent']
akin to,['love']
any other,['name']
her sex,['it']
a false,['position']
it was,['not']
such intrusions,['into']
he felt,['any']
were abhorrent,['to']
admit such,['intrusions']
delicate and,['finely']
gibe and,['a']
a sensitive,['instrument']
mental results,['grit']
seldom heard,['him']
other name,['in']
not that,['he']
i take,['it']
she eclipses,['and']
own delicate,['and']
sex it,['was']
admirably balanced,['mind']
throw a,['doubt']
woman i,['have']
precise but,['admirably']
disturbing than,['a']
position he,['never']
have placed,['himself']
irene adler,['all']
factor which,['might']
it the,['most']
drawing the,['veil']
as a,['lover']
in his,['eyes']
that he,['felt']
temperament was,['to']
eclipses and,['predominates']
and predominates,['the']
that the,['world']
predominates the,['whole']
his own,|['delicate', 'high-power']|
his mental,['results']
perfect reasoning,['and']
sneer they,['were']
not be,['more']
the whole,['of']
eyes she,['eclipses']
the veil,['from']
has seen,['but']
was not,['that']
